"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
-0.354702,-0.434468,-0.428514,-0.080494,-0.14024625,-0.322666,-0.404521,-0.343601,-0.379155,-0.370057,10.627682,7.610083,6.863406,6.51073,6.96978,5.037293,5.020024,7.266651,4.342891,9.532266
-0.285642,-0.23388725,-0.22326225,-0.218954,0.377429,-0.145691,-0.301317,-0.20247,-0.234762,-0.32684,10.739098,6.900425,7.01169,6.407969,7.638877,4.781056,4.590354,9.301235,4.321745,6.478963
-0.283225,-0.285597,-0.198374,-0.133326,0.130707,-0.208985,-0.208997,-0.226279,-0.248655,-0.215859,10.666458,6.707778,7.372696,7.212915,8.12689,4.904311,4.71925,8.465131,4.492046,5.894876
-0.126996,0.175192333333333,0.106877,0.136795,0.064681,0.2238,0.059101,0.295067,0.240172,0.061605,7.211304,7.598777,6.706094,7.24492,7.374469,4.841017,4.625252,10.031441,4.454763,7.072033
-0.086583,-0.112817,-0.13357675,-0.143991,0.473893,-0.097415,-0.164648,-0.185964,-0.081087,-0.188565,11.399529,7.559966,7.420993,6.575805,7.573824,4.919691,4.837561,6.74431,4.335926,6.422665
-0.088638,0.0577225,0.01483975,-0.017986,0.039462,0.002247,0.008946,0.075684,0.097001,0.091474,10.472313,6.432385,6.442431,6.506787,8.095036,4.743761,4.587843,8.819613,4.684959,6.567159
-0.32259875,-0.300476,-0.27553,-0.291235,0.470748,-0.277769,-0.355375,-0.307701,-0.286547,-0.256202,10.793316,6.495589,6.688844,6.734213,8.232392,5.088532,4.662029,7.220665,5.448886,6.838938
-0.435724,-0.319873,-0.265632,-0.252151,0.719279,-0.128501,-0.211196,-0.157909,-0.311436,-0.232751,10.482729,6.629633,7.367756,6.560472,8.272958,5.150662,4.743083,6.57706,4.576857,7.801245
-0.051461,-0.098528,0.020103,0.018611,0.079507,-0.037352,-0.110606,-0.064634,-0.047583,0.005352,11.275032,6.007793,6.848697,6.552658,8.201494,5.411424,4.90066,7.674227,4.71362,5.729022
-0.195967,-0.36282,-0.234195,-0.093524,0.44982,-0.262843,-0.289152,-0.266331,-0.33079,-0.296993,10.986752,6.329347,6.273991,7.017045,7.578664,4.921661,4.640941,6.476246,4.540325,7.059811
0.02014075,0.118345,0.083647,0.176074,-0.014821,0.091952,0.011277,0.011648,0.024034,0.018707,11.080688,6.265368,6.710505,6.717207,9.041884,4.784054,4.665508,7.352095,4.59175,6.234621
-0.058216,0.115513,0.047981,0.045056,0.649383,0.115179,-0.027401,-0.054015,0.114243,0.0361384,10.631056,8.021401,6.489901,6.913996,7.557,4.807854,4.845753,7.060215,4.373397,8.152255
-0.068365,-0.021501,-0.043012,0.025791,0.250041,0.105895,-0.051826,0.009301,0.010126,-0.053669,10.139285,5.916273,6.4497,6.696626,9.289808,5.31854,4.715055,9.322152,4.711974,5.764051
-0.227567,-0.059632,-0.095399,0.068072,0.420855,0.088764,-0.11684,-0.020151,-0.089149,-0.029924,10.65508,7.541661,6.73904,6.443419,8.188031,4.885591,4.707847,7.716958,4.615146,6.406002
-0.0290058,0.061635,-0.077669,0.00551,0.08786,0.010092,-0.008995,-0.058915,-0.034276,-0.086012,9.702876,6.164694,7.754833,6.935533,8.107609,4.819336,4.652082,9.421491,5.234208,5.412631
-0.35669,-0.192925,-0.11587,-0.151823,0.270352,-0.167511,-0.186713,-0.247421,-0.22648,-0.220224,10.798559,6.856453,5.847425,6.84902,7.285465,4.824935,4.547295,8.76037,4.558456,7.268039
-0.172107,0.048456,0.201904,0.05371,0.1545735,0.065374,-0.02443,-0.065601,-0.070835,-0.019301,9.789535,6.398201,6.325886,6.922679,8.558517,4.915627,4.83779,7.070652,4.680572,6.162979
-0.151848,-0.286153,-0.346427,-0.176497,0.259155,-0.195675,-0.31684,-0.263321,-0.274669,-0.187427,10.475492,7.172271,6.528205,6.849893,8.14078,5.758895,4.815682,8.826768,4.569375,5.888722
-0.241257,-0.24950775,-0.22071375,-0.087735,0.656418,-0.179954,-0.376028,-0.243102,-0.168583,-0.345387,10.839745,6.03183,6.673216,6.984603,8.742255,4.964093,4.492609,6.88442,4.769165,7.026255
-0.33316,-0.1938275,-0.147344,-0.434672,0.277862,-0.164962,-0.217068,-0.170931,-0.23069,-0.224971,10.537405,6.193343,6.303284,6.877187,7.409034,4.830005,4.966922,6.405366,4.401593,7.133953
