"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
-0.354702,-0.434468,-0.428514,-0.080494,-0.14024625,-0.322666,-0.404521,-0.343601,-0.379155,-0.370057,-0.451981,-0.417763,-0.42062,-0.426485,-0.491745,-0.37608,-0.318154,-0.441323,0.068579,0.01756,10.627682,7.610083,6.863406,6.51073,6.96978,5.037293,5.020024,7.266651,4.342891,9.532266,6.743334,5.06052,9.223158,10.226419,7.15461,5.406307,4.952665,6.856652,7.003734,10.616888
-0.285642,-0.23388725,-0.22326225,-0.218954,0.377429,-0.145691,-0.301317,-0.20247,-0.234762,-0.32684,-0.310126,-0.320399,-0.260111,-0.406972,-0.135562,-0.261202,-0.119479,-0.228256,-0.146177,-0.267076,10.739098,6.900425,7.01169,6.407969,7.638877,4.781056,4.590354,9.301235,4.321745,6.478963,6.310912,5.002862,8.67149,9.087874,8.03061,5.17825,4.630568,6.689801,6.014716,10.281061
-0.283225,-0.285597,-0.198374,-0.133326,0.130707,-0.208985,-0.208997,-0.226279,-0.248655,-0.215859,-0.22243,-0.12989,-0.156208,-0.136769,-0.1849668,-0.062165,-0.228942,-0.238925,-0.218881,-0.181597,10.666458,6.707778,7.372696,7.212915,8.12689,4.904311,4.71925,8.465131,4.492046,5.894876,6.759494,5.02891,10.044187,10.06524,8.308054,5.2964,4.736801,6.961087,5.451176,9.996507
-0.126996,0.175192333333333,0.106877,0.136795,0.064681,0.2238,0.059101,0.295067,0.240172,0.061605,-0.331531,-0.126712,0.012699,-0.375134,-0.094655,-0.28192,-0.015072,-0.0167762,0.062614,-0.170616,7.211304,7.598777,6.706094,7.24492,7.374469,4.841017,4.625252,10.031441,4.454763,7.072033,7.146982,5.177874,8.465296,8.776519,7.746155,5.421868,4.511106,6.889084,7.023419,10.364453
-0.086583,-0.112817,-0.13357675,-0.143991,0.473893,-0.097415,-0.164648,-0.185964,-0.081087,-0.188565,-0.169841,-0.251579,-0.077949,-0.132496,-0.0846784,-0.176853,-0.113224,-0.084201,-0.003302,-0.142874,11.399529,7.559966,7.420993,6.575805,7.573824,4.919691,4.837561,6.74431,4.335926,6.422665,6.685214,5.172855,9.270954,11.087302,8.455939,5.300142,4.629836,6.716229,5.827705,10.39483
-0.088638,0.0577225,0.01483975,-0.017986,0.039462,0.002247,0.008946,0.075684,0.097001,0.091474,-0.115573,-0.139392,0.118073,-0.137537,0.155016,-0.044393,0.070857,0.040168,0.082859,-0.019176,10.472313,6.432385,6.442431,6.506787,8.095036,4.743761,4.587843,8.819613,4.684959,6.567159,6.527723,5.286104,8.907943,7.845279,7.646539,5.521463,4.700629,6.931475,6.625723,9.943401
-0.32259875,-0.300476,-0.27553,-0.291235,0.470748,-0.277769,-0.355375,-0.307701,-0.286547,-0.256202,-0.345766,-0.347088,-0.282059,-0.333952,-0.254474,-0.264549,-0.208606,-0.371057,-0.265406,-0.363764,10.793316,6.495589,6.688844,6.734213,8.232392,5.088532,4.662029,7.220665,5.448886,6.838938,6.801898,5.119364,9.225956,10.893246,7.991817,5.353374,4.755109,7.2301,6.95322,9.857396
-0.435724,-0.319873,-0.265632,-0.252151,0.719279,-0.128501,-0.211196,-0.157909,-0.311436,-0.232751,-0.319835,-0.262887,-0.186589,-0.271975,-0.291183,-0.348863,-0.173976,-0.289115,-0.248842,-0.328314,10.482729,6.629633,7.367756,6.560472,8.272958,5.150662,4.743083,6.57706,4.576857,7.801245,6.578928,5.392635,10.052842,11.296192,8.386994,5.337883,4.833944,6.86942,5.99598,9.918878
-0.051461,-0.098528,0.020103,0.018611,0.079507,-0.037352,-0.110606,-0.064634,-0.047583,0.005352,-0.062709,0.123233,-0.0556,0.066404,0.003184,-0.005163,-0.090777,-0.04096,-0.014655,0.025287,11.275032,6.007793,6.848697,6.552658,8.201494,5.411424,4.90066,7.674227,4.71362,5.729022,6.754492,8.306663,10.625971,10.027389,8.523353,5.395491,4.786434,7.125842,6.24371,9.709131
-0.195967,-0.36282,-0.234195,-0.093524,0.44982,-0.262843,-0.289152,-0.266331,-0.33079,-0.296993,-0.242396,-0.112978,-0.256932,-0.189544,-0.309943,-0.2665016,-0.367725,-0.381974,-0.270681,-0.235983,10.986752,6.329347,6.273991,7.017045,7.578664,4.921661,4.640941,6.476246,4.540325,7.059811,6.307542,5.259622,9.731378,9.559277,8.023864,5.237212,4.575994,6.689964,5.783111,9.620064
