"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
0.031902,-0.066685,0.0794762,-0.004655,-0.419382,-0.207425,0.087996,0.243451,-0.331719,0.095795,0.007079,-0.116548,-0.011251,0.750385,0.417508,-0.369031,0.23166,0.155866,0.0397682,0.07395,11.400916,11.756966,13.600002,12.281942,11.403798,11.867636,11.379035,10.879441,13.042039,12.393383,9.85844,13.543795,12.867621,10.452071,11.200358,12.514044,13.610144,13.453863,12.604545,9.563445
-0.22287,-0.290157,0.15402,-0.289487,0.095325,0.528903,0.258658,0.451071,0.410008,0.361269,0.513764,0.384054,0.488602,0.950563,0.98806,0.00426680000000003,-0.248654,-0.204877,-0.283889,-0.295343,11.433797,11.481428,13.664591,11.820278,10.780388,11.870324,11.714578,9.100159,11.844343,12.340405,10.768659,12.757621,12.425105,10.471522,11.47653,12.697261,13.201183,13.160142,12.981721,9.291012
-0.220426,-0.344432,0.0669245,-0.158638,-0.173385,-0.299935,-0.18312525,-0.21472,-0.137492,0.132123,0.138018,0.28181,0.510795,0.548189,0.143148,0.180407,0.390627,1.210102,1.421948,0.448798,10.772251,11.260721,13.31871,11.46902,10.585356,11.638847,11.503699,8.458855,11.522117,12.303726,10.287357,13.266849,12.827711,10.076325,11.561759,12.704913,12.988926,12.824248,12.793566,9.262377
0.136383,-0.2838,0.334578,-0.062345,-0.157376,-0.131169,-0.255904,0.044012,-0.077357,-0.014297,-0.09218,-0.183832,-0.223803,-0.080302,0.079599,-0.16552,-0.08298,-0.022548,-0.2127,-0.161669,11.428575,11.769431,13.485032,11.723215,10.963902,12.416615,11.456065,10.67652,12.587201,12.567129,9.469668,13.174663,12.681264,10.281849,11.816819,12.669383,12.957052,12.860837,13.051446,9.777966
-0.12294,-0.28117,-0.074577,-0.087297,-0.120952,-0.014583,-0.307613,-0.084883,-0.263899,-0.115204,0.049231,-0.103088,-0.0869176,-0.36042,-0.137158,-0.138599,-0.042987,-0.136372,-0.17323,-0.3141634,11.592283,11.36959,13.421953,11.908926,10.34225,11.943767,12.116421,9.311224,12.093621,12.108454,10.625191,12.831024,12.371933,10.479486,11.493571,12.714492,12.879265,12.818079,12.267465,9.779725
0.080775,-0.118728,0.208828,0.071291,-0.007074,0.01573,0.0329204,0.094231,-0.062628,0.143919,0.0970608,0.100072,0.05632,-0.062266,-0.016879,-0.0436432,0.090762,-0.011378,-0.060456,-0.108421,11.605297,11.504422,13.09715,11.506353,10.46048,12.496586,12.121804,8.266395,11.405937,12.120783,10.710393,12.537827,12.113265,10.825417,11.110137,12.700275,12.714304,12.486219,12.8467,9.218355
-0.267206,-0.348043,-0.221397,-0.297683,-0.395508,-0.338374,-0.3435934,-0.27404,-0.389057,-0.307119,-0.297774,-0.378986,-0.317892,-0.123611,-0.20005,-0.29,-0.403205,-0.32756,-0.378234,-0.445731,11.450776,11.282287,13.207762,12.059965,10.510027,12.188157,11.59211,8.207033,11.960466,12.057103,10.930538,13.159722,12.110056,10.306347,11.276392,12.571922,12.691355,13.055999,12.590302,9.79248
-0.301516,-0.345979,0.011931,-0.145715,-0.272198,-0.478626,-0.081478,-0.227299,-0.203276,-0.287639,-0.240449,-0.39796,-0.411304,-0.132522,-0.192707,-0.374455,-0.174288,0.052755,-0.00758,0.095093,11.179204,10.980986,13.267106,11.591179,10.863683,11.757219,11.747484,8.351507,11.57356,12.027789,11.101277,12.739912,12.547437,10.212574,11.780752,12.618167,12.604735,12.605815,12.07679,9.684809
0.011248,-0.160172,0.020514,0.034822,0.01854,-0.159417,0.037511,-0.007867,0.049977,-0.029526,0.018067,-0.061825,-0.021499,0.208085,-0.02681,-0.006243,0.015344,0.023183,0.16286,0.016925,11.092451,10.466863,13.112623,11.260717,9.515167,11.610708,11.339369,6.487486,11.686937,11.549877,10.300352,13.065201,11.737797,9.764391,11.09196,12.176034,12.287519,12.421444,11.94788,8.911414
-0.28695,-0.413431,0.309008,-0.185325,-0.042921,-0.424236,-0.207747,-0.342143,-0.072446,-0.2472,-0.230892,-0.339898,-0.325674,-0.025831,0.067285,0.332088,-0.168861,0.269594,0.395102,-0.0482112,10.990783,10.986013,13.19491,11.82227,10.670985,11.81055,11.820984,8.011529,11.464859,12.285787,10.846997,12.914745,12.400491,10.056284,11.412734,12.760605,12.862897,12.896695,12.2931,9.11918
-0.025118,-0.072204,-0.0615026,0.088213,0.005018,-0.022114,-0.017059,0.01529,0.063877,0.031734,0.032708,-0.049321,-0.117672,0.039982,0.031747,-0.0036244,0.042048,0.112434,0.06035,0.111196,11.875725,11.350027,13.519178,10.985347,10.703625,12.653362,11.609556,8.054093,11.907015,12.524415,11.059049,12.913168,12.704489,9.663085,11.003899,12.481525,12.809085,12.833389,12.512999,9.155661
0.054473,0.079948,-0.098262,0.005775,-0.035298,0.140476,0.0223598,-0.001389,0.001379,0.053008,0.181901,0.059317,0.12309,-0.01350325,-0.013881,0.163934,-0.023287,-0.076796,-0.06905,-0.077338,11.183506,11.664055,13.836157,11.852037,10.961918,12.06666,11.814238,10.503538,12.26243,13.155672,10.239133,13.516417,13.065123,10.801949,11.779317,13.275487,13.411361,13.362005,12.755882,9.702876
0.028201,-0.115903,-0.122852,-0.122636,-0.057265,-0.034846,0.001335,0.048008,0.023747,0.011469,0.090599,-0.053669,-0.053191,-0.014207,0.017649,0.056972,-0.04878,0.003049,-0.039502,0.009103,11.313126,10.784549,13.174752,11.09897,10.189496,11.611826,11.13678,6.828834,11.283749,12.072178,10.45871,12.477953,12.154056,10.16513,10.98041,12.369865,12.250323,12.839196,12.135621,9.035612
-0.038938,-0.275807,-0.23162,-0.183233,-0.223497,-0.340732,-0.017124,0.007962,-0.032583,-0.228336,-0.165929,-0.313837,-0.2176524,0.069066,0.041442,-0.069586,-0.253618,-0.007474,-0.101702,-0.062782,10.675523,11.611065,12.998839,11.623146,10.612789,12.444052,11.273477,9.319797,11.652509,12.572545,10.794015,13.267896,12.656949,10.577215,11.011498,12.769746,13.031206,12.830957,12.758277,9.659109
0.020738,-0.092141,0.153453,-0.254221,-0.274223,-0.144615,-0.288599,0.0112792,-0.183274,-0.058848,0.00696,-0.096503,-0.130398,-0.173325,-0.02547,-0.101342,-0.030112,0.082262,-0.080857,0.042808,11.332754,11.645376,13.57845,11.580086,10.770799,12.442291,11.324093,8.897072,11.891453,12.531205,10.807039,13.053967,12.237844,10.495436,11.110861,12.579565,12.958549,12.850599,12.954918,9.351959
-0.111916,-0.190805,-0.01182,-0.082328,-0.226595,-0.213379,0.059075,-0.104323,-0.113994,-0.188685,0.009293,-0.278934,-0.227641,-0.265941,-0.139193,-0.367999,-0.175432,0.106349,-0.07931875,-0.127057,12.392747,11.722945,13.919675,11.862072,10.55536,12.20882,12.19745,8.864624,11.640846,12.719718,11.043344,13.232875,12.890212,10.754534,11.593501,13.084053,13.242425,12.821972,12.917195,9.554738
-0.110243,-0.1444205,0.025917,0.125683,0.010929,-0.224745,0.173121,-0.117513,-0.004305,-0.109953,-0.034587,-0.134809,-0.158566,-0.043155,0.057868,0.0592812,0.08562,0.1113,-0.060337,0.275112,11.347975,10.920426,13.060582,11.871905,10.272497,11.940005,12.010226,9.029156,11.489156,12.285903,10.048414,12.469583,12.413179,10.313311,11.629378,11.926919,12.601594,12.762348,12.314846,9.219681
-0.145824,-0.247633,-0.146384,-0.262861,-0.322071,-0.377288,-0.22522,0.193589,0.153047,-0.074148,-0.050618,-0.121447,-0.099613,-0.006868,0.107544,-0.023252,-0.072533,0.002972,-0.033607,-0.066852,10.882028,11.296724,12.932391,11.90817,10.491991,11.441288,11.472747,8.579716,11.894018,12.24817,9.809744,13.09344,12.197863,10.219838,11.079386,12.441632,12.760224,12.562443,12.451862,9.32051
-0.271569,-0.302896,-0.089883,-0.333744,-0.211707,-0.303682,-0.142323,-0.180869,-0.016308,-0.348551,-0.182987,-0.368333,-0.294553,-0.301699,-0.187965,-0.130009,-0.439852,-0.282195,-0.353953,-0.167593,10.94716,11.569601,13.337183,11.654024,10.616026,11.594109,11.388569,8.4643,11.435052,12.489314,10.577598,13.355427,12.726916,10.283348,11.376362,12.769117,13.118336,13.114959,12.703813,9.178324
-0.140536,-0.228312,-0.2445,-0.346224,-0.378484,-0.226653,-0.236522,-0.120481,-0.362813,-0.099742,-0.167875,-0.201257,-0.104695,-0.317193,0.5329612,-0.404171,-0.147074,0.163645,-0.288745,-0.131995,11.492574,11.446047,13.07669,11.647167,10.037795,11.579569,11.725434,7.336996,11.559893,11.834729,10.387117,12.794207,12.35559,10.123573,11.027415,12.553743,12.383353,12.389282,12.477061,9.477702
0.078434,-0.010085,0.019934,0.028071,0.003135,0.058265,-0.116747,0.101765,0.121675,0.0729,0.122056,0.104962,0.175174,-0.148172,0.084751,0.047429,0.048643,0.039428,0.074629,0.096916,10.909967,11.564613,13.862096,11.737594,11.238491,11.799204,11.244459,10.074904,12.159247,12.716396,10.260001,13.501594,12.59978,10.43866,11.136128,12.865547,13.316016,13.256734,12.782957,9.706466
0.28319,0.246249,0.212421,0.371068,0.254315,0.246198,0.335281,0.048503,0.140637,0.134562,0.224048,0.189575,0.171402,0.072881,0.185787,0.201752,0.141845,0.213431,0.14466225,0.1080756,10.667046,11.307798,12.680753,11.184203,10.850944,11.239438,10.957182,8.408668,12.124994,12.215023,9.358886,13.128373,12.170485,9.898798,11.314727,12.201125,13.105966,13.039226,12.075886,9.06878
-0.237077,-0.318236,-0.051269,-0.344737,-0.31278,-0.293949,-0.317012,-0.197399,-0.286679,-0.190687,-0.136729,-0.295029,-0.197406,-0.337445,-0.221225,-0.196282,-0.203572,-0.280618,-0.362136,-0.246899,10.747799,10.795766,13.090235,10.455034,10.221649,11.724544,10.619023,5.863767,9.81592,10.918135,10.102419,11.167317,11.843502,9.873212,11.38766,11.756435,12.049264,12.277477,12.53544,9.20216
-0.278295,-0.304461,-0.060833,-0.043498,-0.152715,-0.409945,-0.200421,-0.2168846,-0.367383,-0.349315,-0.268764,-0.066507,0.003434,-0.071636,0.092682,0.181806,-0.11681,0.012102,-0.0243194,-0.0744864,11.157467,11.801605,13.725093,11.694714,10.53253,11.652718,11.159983,8.217811,11.271146,12.246853,10.632544,12.789864,13.097139,10.365672,11.841137,12.862858,13.411406,12.934731,12.999704,9.651345
0.147278,-0.056952,0.012432,-0.01129,0.143549,0.22169,-0.051281,0.078011,-0.019291,0.225452,0.109546,0.07618,0.19041,-0.130597,-0.032323,-0.041561,0.17445,0.091486,0.032928,0.116215,11.243427,11.123222,13.224661,11.455922,10.363566,11.526839,11.316566,7.849571,11.337106,12.084091,11.031758,12.542732,12.149154,9.817733,11.11245,12.193393,12.46645,12.828289,12.527504,9.614368
-0.076624,-0.151048,0.028594,-0.220621,-0.170967,-0.169872,-0.22612,0.100493,-0.112793,0.001803,0.126932,-0.043784,0.031396,-0.185471,-0.027371,-0.168961,-0.007682,-0.098653,-0.083953,0.007301,11.842739,11.091959,13.27309,11.769593,10.218436,12.084681,11.728821,8.884377,11.649131,11.929925,11.551123,12.693186,12.927055,10.789383,11.478041,12.513476,12.701595,13.20415,12.33277,9.72894
