dataset,"(p, q)",ObjVal_Train,ObjVal_Test,Time_Elapsed
0,"(3, 3)",0.697973584,0.715653553,0.014308404799999999
0,"(5, 5)",0.6706805806,0.6944488073999999,0.0245838164
0,"(10, 10)",0.643241834,0.6622820048,0.026798439
1,"(2, 2)",0.6859700248,0.6801844642,0.0067304612
1,"(3, 3)",0.7971623616,0.7955121406,0.0073927404
2,"(2, 2)",0.8409631466,0.8334366554000001,0.0081366062
2,"(3, 3)",0.8265528271999999,0.8190635672000001,0.017383432600000002
3,"(3, 3)",0.39142566799999995,0.2700812946,0.00707501175
3,"(5, 5)",0.44319932700000003,0.30178795440000006,0.013311767399999999
4,"(3, 3)",0.37827118120000003,0.2702397044,0.008813429000000001
4,"(5, 5)",0.47272563419999997,0.37765013379999995,0.0102179526
5,"(3, 3)",0.63397282,0.62799438,6.3657759249999994
5,"(5, 5)",0.65920255,0.6526798,7.6645796499999985
5,"(10, 10)",0.6751780399999999,0.67265608,6.9564749599999995
