,dataset,method,k1,k2,ObjVal_Train,ObjVal_Test,Time_Elapsed,N_Iter
0,7,greedy_CCA,5,5,0.9479033866138118,0.2301072802094129,22.313586950302124,-1
1,7,greedy_CCA,5,5,0.9241504225394932,0.4437744188352389,16.186904668807983,-1
2,7,greedy_CCA,5,5,0.9143461870129213,0.0654931042246051,16.59707999229431,-1
3,7,greedy_CCA,5,5,0.9813642829440048,-0.0226416387320946,30.49932599067688,-1
4,7,greedy_CCA,5,5,0.9447166596226542,-0.1587110414016841,26.617865800857544,-1
5,7,CCA_without,5,5,-1.0,,7212.699818134308,-1
6,7,CCA_without,5,5,0.4736403629806535,0.4604106190045735,7212.584840774536,-1
7,7,CCA_without,5,5,0.486138318281717,0.0066549041972907,7213.030074119568,-1
8,7,CCA_without,5,5,-1.0,,7212.580296039581,-1
9,7,CCA_without,5,5,0.2368847961857084,0.1537782910047339,7212.684947967529,-1
10,7,CCA_with,5,5,0.8772289658581774,0.0306888051658419,4010.580440044403,5
11,7,CCA_with,5,5,0.8818045728363013,0.0027108175792338,4013.907948970794,5
12,7,CCA_with,5,5,0.8679746760201044,-0.0875459995793774,4013.767280101776,5
13,7,CCA_with,5,5,0.9083489099318576,-0.1377167361266029,6641.147619962692,9
14,7,multistart_CCA,5,5,0.9344205095764502,0.4003074865278199,5632.504750967026,-1
15,7,multistart_CCA,5,5,0.9273945030862036,0.3204434722513011,5492.0446898937225,-1
16,7,multistart_CCA,5,5,0.9016780535505072,0.5129887953585291,5643.101351976395,-1
17,7,multistart_CCA,5,5,0.9249709567180352,0.4123621001670648,5637.325500965118,-1
18,7,multistart_CCA,5,5,0.903493277200104,0.1849708620717211,5779.086386919022,-1
19,7,benders_CCA_without,5,5,0.5810220387035063,0.4500808200102928,7366.206644296646,126
20,7,benders_CCA_without,5,5,0.7408915476223917,0.5907207571227092,7438.639241933823,75
21,7,benders_CCA_without,5,5,0.6841273090978482,0.6274497026680287,7503.593138933182,85
22,7,benders_CCA_without,5,5,0.6680863018373621,0.2132993366221482,7265.807301998138,112
23,7,benders_CCA_without,5,5,0.5742221433686179,0.0859480827332625,7284.233244180679,118
24,7,benders_CCA_with,5,5,0.9198456072589886,0.2592581874358464,7256.085886001587,45
25,7,benders_CCA_with,5,5,0.8985769034149096,0.5672689145007397,7348.065274000168,75
26,7,benders_CCA_with,5,5,0.8739569795850997,0.1004139696743505,7295.139134883881,47
27,7,benders_CCA_with,5,5,0.8977726763187044,0.1109545934035248,7332.941712141037,41
28,7,benders_CCA_with,5,5,0.8851213944891503,0.14503472525247,7323.551648855209,46
29,7,kernelsearch_CCA_without,5,5,0.8117408235690596,0.0284241481601737,7206.076937913895,-1
30,7,kernelsearch_CCA_without,5,5,0.7280761331371944,0.3108587661750811,7206.594485044479,-1
31,7,kernelsearch_CCA_without,5,5,0.8155333453638602,-0.2780415676182803,7206.229690790176,-1
32,7,kernelsearch_CCA_without,5,5,0.7277790181463346,-0.0755449555651936,7206.5394151210785,-1
33,7,kernelsearch_CCA_without,5,5,0.8031700332935584,-0.2134999828512694,7206.524667024612,-1
34,7,kernelsearch_CCA_with,5,5,0.8117408235690596,0.0284241481601737,7206.180244207382,-1
35,7,kernelsearch_CCA_with,5,5,0.7280761331371944,0.3108587661750811,7206.5034103393555,-1
36,7,kernelsearch_CCA_with,5,5,0.8155333453638602,-0.2780415676182803,7206.316721916199,-1
37,7,kernelsearch_CCA_with,5,5,0.7277790181463346,-0.0755449555651936,7206.535581111908,-1
38,7,kernelsearch_CCA_with,5,5,0.8031700332935584,-0.2134999828512694,7206.450872898102,-1
39,7,combined_CCA,5,5,1.0000195012076127,0.1453285796793745,2203.5942509174347,-1
40,7,combined_CCA,5,5,1.0000034115403147,-0.084957719910357,2120.9525191783905,-1
41,7,combined_CCA,5,5,1.0000210507860656,0.0635094803897839,1937.0072538852687,-1
42,7,combined_CCA,5,5,1.0000097984798604,0.2199525476523924,2291.7545380592346,-1
43,7,combined_CCA,5,5,1.002004221145043,-0.1280359694992235,1926.9926080703733,-1
44,7,greedy_CCA,10,10,0.9857945067137016,0.1978750837780839,62.107215881347656,-1
45,7,greedy_CCA,10,10,0.9814436406686896,0.5130614870492063,51.54282283782959,-1
46,7,greedy_CCA,10,10,0.971628579052064,0.1334942155537014,45.56356716156006,-1
47,7,greedy_CCA,10,10,0.9957386303434372,-0.0022276779972016,78.86394596099854,-1
48,7,greedy_CCA,10,10,0.9803791350971348,-0.0311586568731602,64.51641011238098,-1
49,7,CCA_without,10,10,0.4163284754719967,0.042069875362314,7213.122008085251,-1
50,7,CCA_without,10,10,-1.0,,7212.392393112183,-1
51,7,greedy_CCA,50,50,0.9999986068774525,0.9999990827087655,348.64639496803284,-1
52,7,greedy_CCA,50,50,0.9999986068774525,0.9999984409920384,341.65378522872925,-1
53,7,greedy_CCA,50,50,0.9999986068774525,0.999998263068947,335.77125883102417,-1
54,7,greedy_CCA,50,50,0.9999986068774525,0.9999986141271243,340.4132630825043,-1
55,7,greedy_CCA,50,50,0.9999986068774525,0.9999984903357013,338.86611914634705,-1
56,7,greedy_CCA,50,50,0.9999986068774525,0.999998805146607,338.89140701293945,-1
57,7,greedy_CCA,50,50,0.9999986068774525,0.9999986363336614,340.0715551376343,-1
58,7,greedy_CCA,50,50,0.9999986068774525,0.9999989149666857,337.733286857605,-1
59,7,greedy_CCA,50,50,0.9999986068774525,0.9999982693830662,336.7280080318451,-1
60,7,greedy_CCA,50,50,0.9999986068774525,0.9999981980084968,342.040087223053,-1
