,dataset,method,k1,k2,ObjVal_Train,ObjVal_Test,Time_Elapsed,N_Iter
0,7,greedy_CCA,5,5,0.904230619684586,0.0657247743929155,15.496439933776855,-1
1,7,greedy_CCA,5,5,0.9033491927698104,-0.1792357388394495,12.263941049575806,-1
2,7,greedy_CCA,5,5,0.8889146774645512,0.0126549341141233,12.160032033920288,-1
3,7,greedy_CCA,5,5,0.9082200353579388,-0.0198611607312078,10.475560903549194,-1
4,7,greedy_CCA,5,5,0.8706559381359872,-0.0849154367380524,8.528281211853027,-1
5,7,CCA_without,5,5,0.5787356894783124,0.349994961353037,7203.60458111763,-1
6,7,CCA_without,5,5,0.5148075900940264,-0.1173489242960443,7203.953709840775,-1
7,7,CCA_without,5,5,0.4246928090434643,0.0710797833420872,7203.849875211716,-1
8,7,CCA_without,5,5,0.4589513458916207,0.3272794850407503,7203.917255163193,-1
9,7,CCA_without,5,5,0.5961632928664959,-0.1571427053586676,7204.218238115311,-1
10,7,CCA_with,5,5,0.8891781708380601,-0.0890598035037588,2469.88786315918,5
11,7,CCA_with,5,5,0.8349013092369648,-0.0526900724946768,4796.337466001511,11
12,7,CCA_with,5,5,0.8608648684033201,0.1354576628872559,2357.155075073242,5
13,7,CCA_with,5,5,0.8926791380899821,-0.0917671230612781,2737.486924171448,5
14,7,multistart_CCA,5,5,0.8924816823438132,0.3645911683452104,5141.765856027603,-1
15,7,multistart_CCA,5,5,0.8929326324869655,0.0826090447530197,5743.061777114868,-1
16,7,multistart_CCA,5,5,0.8913754809890223,0.4192991154839989,5191.066389083862,-1
17,7,multistart_CCA,5,5,0.9130586228282388,-0.2479028737987137,5758.739460945129,-1
18,7,multistart_CCA,5,5,0.921562313715692,0.0021632153532504,5155.733438014984,-1
19,7,benders_CCA_without,5,5,0.6348919380627683,0.13383780221052544,7232.960494756699,341
20,7,benders_CCA_without,5,5,0.6517654774392408,-0.09574097612778897,7224.674787044525,270
21,7,benders_CCA_without,5,5,0.6330997906494917,0.21479080733800288,7222.034113168716,294
22,7,benders_CCA_without,5,5,0.634951073979639,0.13344556166557411,7218.343828201294,393
23,7,benders_CCA_without,5,5,0.6329964339179782,0.6695164037261704,7217.891468048096,354
24,7,benders_CCA_with,5,5,0.8671062913234678,0.05338954924769009,7254.040832996368,184
25,7,benders_CCA_with,5,5,0.7962602749200011,0.11583979846888487,7228.8782069683075,196
26,7,benders_CCA_with,5,5,0.9999999756907508,-0.032608567118175884,7219.66576218605,236
27,7,benders_CCA_with,5,5,0.8760272183063259,-0.19384985243641317,7308.631451129913,150
28,7,benders_CCA_with,5,5,0.9066587921261429,0.1072985516935498,7221.907046318054,143
29,7,kernelsearch_CCA_without,5,5,0.8007476038775526,-0.16999844947656417,7213.46377325058,-1
30,7,kernelsearch_CCA_without,5,5,0.7619779534072418,-0.26592912007469954,7219.520792961121,-1
31,7,kernelsearch_CCA_without,5,5,0.7752655570534231,-0.1707299854374101,7212.513207912445,-1
32,7,kernelsearch_CCA_without,5,5,0.7669950505197841,-0.14286700514107956,7214.031529903412,-1
33,7,kernelsearch_CCA_without,5,5,0.7731775688423318,0.2988075959108368,7214.455123901367,-1
34,7,kernelsearch_CCA_with,5,5,0.8007476038775526,-0.16999844947656417,7213.5101861953735,-1
35,7,kernelsearch_CCA_with,5,5,0.7619779534072418,-0.26592912007469954,7219.363587141037,-1
36,7,kernelsearch_CCA_with,5,5,0.7605151082280459,-0.123838214781264,7211.961305141449,-1
37,7,kernelsearch_CCA_with,5,5,0.7669950505197841,-0.14286700514107956,7213.914439201355,-1
38,7,kernelsearch_CCA_with,5,5,0.7731775688423318,0.2988075959108368,7214.043082952499,-1
39,7,combined_CCA,5,5,0.9030483839490774,-0.1614789228494742,2719.615634202957,-1
40,7,combined_CCA,5,5,0.887580322805042,0.013109874554499669,2653.4270162582397,-1
41,7,combined_CCA,5,5,0.8629855937519452,-0.02705629228898792,2699.0056807994843,-1
42,7,combined_CCA,5,5,1.0000222748091059,-0.4472446457435726,2022.5586559772491,-1
43,7,combined_CCA,5,5,0.8830006643520073,0.01712179850041857,2711.0563971996307,-1
44,7,greedy_CCA,10,10,0.9708109273970663,-0.2284162356532723,48.908923864364624,-1
45,7,greedy_CCA,10,10,0.9764037026865792,-0.34595571111204143,38.638964891433716,-1
46,7,greedy_CCA,10,10,0.9732617216037822,0.02733405266752688,39.090368032455444,-1
47,7,greedy_CCA,10,10,0.9709955219212144,-0.2615544755345105,32.048341035842896,-1
48,7,greedy_CCA,10,10,0.962465152657863,-0.018772250624527587,34.170148849487305,-1
49,7,CCA_without,10,10,0.6421596653957472,-0.03834850608200213,7204.08517575264,-1
