,dataset,method,k1,k2,ObjVal_Train,ObjVal_Test,Time_Elapsed,N_Iter
0,7,greedy_CCA,5,5,0.904230619684586,0.0657247743929155,15.496439933776855,-1
1,7,greedy_CCA,5,5,0.9033491927698104,-0.1792357388394495,12.263941049575806,-1
2,7,greedy_CCA,5,5,0.8889146774645512,0.0126549341141233,12.160032033920288,-1
3,7,greedy_CCA,5,5,0.9082200353579388,-0.0198611607312078,10.475560903549194,-1
4,7,greedy_CCA,5,5,0.8706559381359872,-0.0849154367380524,8.528281211853027,-1
5,7,CCA_without,5,5,0.5787356894783124,0.349994961353037,7203.60458111763,-1
6,7,CCA_without,5,5,0.5148075900940264,-0.1173489242960443,7203.953709840775,-1
7,7,CCA_without,5,5,0.4246928090434643,0.0710797833420872,7203.849875211716,-1
8,7,CCA_without,5,5,0.4589513458916207,0.3272794850407503,7203.917255163193,-1
9,7,CCA_without,5,5,0.5961632928664959,-0.1571427053586676,7204.218238115311,-1
10,7,CCA_with,5,5,0.8891781708380601,-0.0890598035037588,2469.88786315918,5
11,7,CCA_with,5,5,0.8349013092369648,-0.0526900724946768,4796.337466001511,11
12,7,CCA_with,5,5,0.8608648684033201,0.1354576628872559,2357.155075073242,5
13,7,CCA_with,5,5,0.8926791380899821,-0.0917671230612781,2737.486924171448,5
14,7,multistart_CCA,5,5,0.8924816823438132,0.3645911683452104,5141.765856027603,-1
15,7,multistart_CCA,5,5,0.8929326324869655,0.0826090447530197,5743.061777114868,-1
16,7,multistart_CCA,5,5,0.8913754809890223,0.4192991154839989,5191.066389083862,-1
17,7,multistart_CCA,5,5,0.9130586228282388,-0.2479028737987137,5758.739460945129,-1
18,7,multistart_CCA,5,5,0.921562313715692,0.0021632153532504,5155.733438014984,-1
19,7,benders_CCA_without,5,5,0.6348919380627683,0.13383780221052544,7232.960494756699,341
20,7,benders_CCA_without,5,5,0.6517654774392408,-0.09574097612778897,7224.674787044525,270
