dataset,"(p, q)",ObjVal_Train,ObjVal_Test,Time_Elapsed
0,"(3, 3)",0.016311344796618808,0.02283053772091537,0.003735688392298225
0,"(5, 5)",0.016386283691064228,0.03676637349964043,0.0026069203725630485
0,"(10, 10)",0.015057373562347227,0.03927077024756269,0.004162386910339664
1,"(2, 2)",0.008660395880961912,0.02081468147645231,0.0034802716910693407
1,"(3, 3)",0.006789829919982802,0.01924011638274922,0.0017797602431280594
2,"(2, 2)",0.002787576250475433,0.006887023154065909,0.002743134747597018
2,"(3, 3)",0.0037536537545242335,0.00699458562407486,0.004327737554863137
3,"(3, 3)",0.013248183887359825,0.04074041203274887,0.0035900311750101583
3,"(5, 5)",0.021038693839783653,0.043177235532561496,0.0024139138989357593
4,"(3, 3)",0.05619490382449572,0.08401460840334983,0.0039048473773684723
4,"(5, 5)",0.03661417425416786,0.07716848972705401,0.0028510054868620006
5,"(3, 3)",0.002486611462824705,0.0018879036421383234,0.8202789596163876
5,"(5, 5)",0.002645215757766564,0.0009667563912969365,1.584730312046566
5,"(10, 10)",0.0014739958744933604,0.001713349114177299,0.1037814602210499
