school;sex;age;address;famsize;Pstatus;Medu;Fedu;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences
GP;F;18;U;GT3;A;4;4;2;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;4
GP;F;17;U;GT3;T;1;1;1;2;0;no;yes;no;no;no;yes;yes;no;5;3;3;1;1;3;2
GP;F;15;U;LE3;T;1;1;1;2;0;yes;no;no;no;yes;yes;yes;no;4;3;2;2;3;3;6
GP;F;15;U;GT3;T;4;2;1;3;0;no;yes;no;yes;yes;yes;yes;yes;3;2;2;1;1;5;0
GP;F;16;U;GT3;T;3;3;1;2;0;no;yes;no;no;yes;yes;no;no;4;3;2;1;2;5;0
GP;M;16;U;LE3;T;4;3;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;2;1;2;5;6
GP;M;16;U;LE3;T;2;2;1;2;0;no;no;no;no;yes;yes;yes;no;4;4;4;1;1;3;0
GP;F;17;U;GT3;A;4;4;2;2;0;yes;yes;no;no;yes;yes;no;no;4;1;4;1;1;1;2
GP;M;15;U;LE3;A;3;2;1;2;0;no;yes;no;no;yes;yes;yes;no;4;2;2;1;1;1;0
GP;M;15;U;GT3;T;3;4;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;5;1;1;1;5;0
GP;F;15;U;GT3;T;4;4;1;2;0;no;yes;no;no;yes;yes;yes;no;3;3;3;1;2;2;2
GP;F;15;U;GT3;T;2;1;3;3;0;no;yes;no;yes;yes;yes;yes;no;5;2;2;1;1;4;0
GP;M;15;U;LE3;T;4;4;1;1;0;no;yes;no;yes;yes;yes;yes;no;4;3;3;1;3;5;0
GP;M;15;U;GT3;T;4;3;2;2;0;no;yes;no;no;yes;yes;yes;no;5;4;3;1;2;3;0
GP;M;15;U;GT3;A;2;2;1;3;0;no;yes;no;no;yes;yes;yes;yes;4;5;2;1;1;3;0
GP;F;16;U;GT3;T;4;4;1;1;0;no;yes;no;no;yes;yes;yes;no;4;4;4;1;2;2;6
GP;F;16;U;GT3;T;4;4;1;3;0;no;yes;no;yes;yes;yes;yes;no;3;2;3;1;2;2;10
GP;F;16;U;GT3;T;3;3;3;2;0;yes;yes;no;yes;yes;yes;no;no;5;3;2;1;1;4;2
GP;M;17;U;GT3;T;3;2;1;1;3;no;yes;yes;yes;yes;yes;yes;no;5;5;5;2;4;5;2
GP;M;16;U;LE3;T;4;3;1;1;0;no;no;no;yes;yes;yes;yes;no;3;1;3;1;3;5;6
